tax_id,scientific_name,coi,cytb
504098,Meriones chengi,KF152978.1,AB381900.1
504099,Meriones tamariscinus,KX859280.1,PQ450156.1
508668,Rattus nitidus,MH290185.1,OK257680.1
511843,Nephelomys keaysi,PV403410.1,PV391726.1
526885,Praomys mutoni,JQ667972.1,PV873681.1
530171,Handleyomys alfaroi,MZ364405.1,OR988049.1
530176,Hylaeamys yunganus,PV403561.1,PV391868.1
530178,Nephelomys albigularis,MZ364418.1,MZ736550.1
530180,Sooretamys angouya,KJ013091.1,OQ560626.1
530183,Transandinomys bolivaris,EU095461.1,EU579513.1
530184,Transandinomys talamancae,MZ364434.1,KY754172.1
537920,Clethrionomys rutilus,HM380209.1,PP928842.1
538996,Akodon simulator group,MZ050370.1,EU260487.1
561259,Neacomys dubosti,HQ919651.1,MT462036.1
583359,Rattus pyctoris,JF499340.1,KY587430.1
595394,Berylmys berdmorei,KC010295.1,HM217473.1
655593,Hylaeamys perenensis,PV403633.1,PV391818.1
666514,Praomys lukolelae,JQ667910.1,PV873485.1
666515,Praomys minor,JQ667914.1,PV873847.1
672787,Chiromyscus langbianis,MK957028.1,MK957049.1
687455,Typhlomys cinereus,MW585726.1,MW585783.1
716674,Alexandromys mongolicus,HM137754.1,MK750927.1
723804,Dipodillus dasyurus,MN326086.1,OM324332.1
754351,Apodemus chejuensis,MN756660.1,KT278843.1
771787,Neodon fuscus,JX962265.1,MK434308.1
796024,Rattus rattus alexandrinus,HM181986.1,MH253713.1
798166,Neodon irene,KC709680.1,PQ383006.1
798169,Neodon sikimensis,MH558118.1,PQ383001.1
857467,Leopoldamys neilli,HM219588.1,HM219612.1
864060,Peromyscus grandis,JQ600963.1,KX998941.1
864465,Euneomys mordax,HQ860421.1,KY753985.1
865620,Akodon polopi,MZ050374.1,GU189331.1
870527,Eothenomys eva,KF999139.1,KY997409.1
870528,Alticola stracheyi,HM165291.1,KY968269.1
907925,Maxomys wattsi,GU294874.1,PQ861172.1
907926,Maxomys musschenbroekii,GU294880.1,PQ861146.1
907927,Maxomys ochraceiventer,JF343495.1,PQ861149.1
907928,Maxomys rajah,JF343519.1,PQ861153.1
907929,Maxomys pagensis,GU294873.1,PQ861150.1
913014,Hylomyscus pamfi,JQ667663.1,MT311311.1
913575,Neotoma albigula varia,GU670608.1,HQ328520.1
943123,Peromyscus yucatanicus,JQ600611.1,PQ742163.1
946209,Niviventer tenaster,MF642552.1,MF642478.1
979565,Niviventer huang,MW585736.1,OP683976.1
996586,Rhabdomys dilectus,OQ322591.1,OL408955.1
1001553,Dephomys defua,OQ025705.1,MW762593.1
1001554,Malacomys cansdalei,JF444180.1,KY754019.1
1002723,Tylomys watsoni,JF459574.1,MF317949.1
1003209,Maxomys moi,JN105101.1,PQ861139.1
1003295,Otonyctomys hatti,JF446103.1,JQ183060.1
1003857,Mindomys hammondi,JF491462.1,MZ437999.1
1047088,Arvicola amphibius,MZ661171.1,PX244613.1
1116255,Praomys morio,JQ667962.1,PV809393.1
1132650,Oligoryzomys utiaritensis,MN015511.1,JQ013776.1
1132651,Oligoryzomys rupestris,MN015503.1,JQ013764.1
1156415,Hapalomys delacouri,KU958012.1,OR637367.1
1157628,Cricetomys ansorgei,OZ347498.1,PV873538.1
1159790,Hylomyscus grandis,JQ667645.1,JQ735515.1
1159791,Praomys derooi,JQ667882.1,AF518351.1
1162392,Lophuromys aquilus,MW464572.1,MN808296.1
1167227,Rattus tanezumi sladeni,JQ793920.1,JQ793909.1
1267393,Eolagurus przewalskii,KC017827.1,MK750944.1
1267394,Allocricetulus curtatus,KJ466761.1,KY993923.1
1268271,Leopoldamys milleti,JX173175.1,JX173159.1
1305941,Leopoldamys revertens,JX173179.1,JX173163.1
1305945,Tonkinomys daovantieni,KC209569.1,OR058875.1
1343853,Cansumys canus,KC861412.1,PP975921.1
1383893,Niviventer hinpoon,KC010232.1,KC010102.1
1392512,Cannomys badius,MH189134.1,MH189064.1
1392554,Lophuromys zena,MW464570.1,OL408933.1
1499497,Handleyomys melanotis,EU095467.1,KP778462.1
1517486,Typhlomys chapensis,KX778344.1,KX778371.1
1543365,Rhabdomys dilectus dilectus,OQ322591.1,OK093808.1
1545497,Thomasomys paramorum,MF806366.1,MN557098.1
1572694,Chiromyscus thomasi,MK957036.1,MK957059.1
1603850,Micromys erythrotis,MW585728.1,PV804254.1
1665529,Microtus ilaeus,KF152996.1,AY513810.1
1725219,Thomasomys taczanowskii,MF806290.1,PQ300795.1
1725221,Thomasomys silvestris,MF806372.1,PQ300782.1
1725226,Thomasomys princeps,MF806273.1,OP978501.1
1925726,Niviventer andersoni pianmaensis,MF642528.1,MF642436.1
1925736,Niviventer lotipes,MW585738.1,OP683968.1
1932377,Nectomys rattus,MZ364417.1,KY498402.1
1962321,Neacomys amoenus,PV403579.1,PV391843.1
1987367,Typhlomys daloushanensis,KX778360.1,PV574587.1
1987368,Typhlomys nanus,KX778348.1,KX778375.1
2023160,Rhipidomys albujai,MF806208.1,KY366345.1
2024399,Peromyscus avius,MF589771.1,MF589817.1
2026214,Niviventer gladiusmaculus,MF642485.1,MF642450.1
2034202,Oligoryzomys mattogrossae,MN015497.1,KY952262.1
2073147,Vernaya fulva,KY605375.1,OR282758.1
2082262,Lophuromys kilonzoi,MW464576.1,MZ420661.1
2082264,Lophuromys machangui,MW464553.1,MN617013.1
2082265,Lophuromys makundii,MW464574.1,MN066295.1
2082266,Lophuromys sabuni,MW464565.1,KY595884.1
2082267,Lophuromys stanleyi,MW464568.1,OR672202.1
2107262,Typomys planifrons,OQ025793.1,ON419642.1
2107264,Hybomys trivirgatus,OQ025795.1,MW762589.1
2162900,Alexandromys oeconomus,KF152999.1,PV658252.1
2162902,Alexandromys limnophilus,JX962280.1,MK750929.1
2170709,Tachyoryctes macrocephalus,MH189082.1,MH189040.1
2175849,Urocricetus kamensis,KF152991.1,MZ018045.1
2184227,Alticola stoliczkanus,KY968260.1,PV558718.1
2213112,Oecomys tapajinus,MF523762.1,MK874442.1
2497119,Microryzomys altissimus,MF806185.1,EU579502.1
2602584,Apodemus nigrus,MK393776.1,PV440052.1
2652948,Neotoma phenax,HM432257.1,MK202784.1
2661599,Lophuromys dudui,MW464548.1,PX550935.1
2666180,Nelsonia goldmani,MK878959.1,MK878985.1
2766943,Euryoryzomys legatus,MT118082.1,MT118042.1
2773612,Niviventer fengi,MN814606.1,MN814525.1
2773613,Niviventer mekongis,MN814633.1,PP907116.1
2801481,Niviventer bukit,KY304319.1,KY304470.1
2866649,Nilopegamys plumbeus,MT610535.1,MT610460.1
2866652,Colomys lumumbai,MT610530.1,MT610399.1
2866653,Colomys wologizi,MT610534.1,MT610459.1
2866654,Colomys eisentrauti,MT610533.1,MT610392.1
2904038,Nephelomys ricardopalmai,PV403192.1,PV391572.1
2929754,Myodes rufocanus,HM380211.1,PV558693.1
2964401,Nephelomys childi,MZ364423.1,OR988053.1
3122392,Nothocricetulus migratorius,HM102297.1,PP457735.1
3241089,Craseomys rex,JF693314.1,LC458485.1
3370639,Pseudohydromys musseri,PV403096.1,PV391517.1
3370983,Anteliomys chinensis,KF999162.1,KY997428.1
3370986,Anteliomys olitor,KY605310.1,MW682703.1
3371118,Montemys delectorum,JQ667873.1,MZ420663.1
