tax_id,scientific_name,accession,seq_name,seq_len
865620,Akodon polopi,GU189331.1,"Akodon polopi voucher MACN 23487 cytochrome b (cytb) gene, partial cds; mitochondrial",801
538996,Akodon simulator group,EU260487.1,"Akodon tartareus voucher NK 23980 cytochrome b (cytb) gene, complete cds; mitochondrial",1140
2162902,Alexandromys limnophilus,MK750929.1,"Alexandromys limnophilus voucher ZMMU:S-191066 cytochrome b (cytb) gene, partial cds; mitochondrial",1103
716674,Alexandromys mongolicus,MK750927.1,"Alexandromys mongolicus voucher Vladimir Lebedev:Mmong_2013_63 cytochrome b (cytb) gene, partial cds; mitochondrial",1140
2162900,Alexandromys oeconomus,PV658252.1,"Alexandromys oeconomus isolate 569 cytochrome b (cytb) gene, partial cds; mitochondrial",1010
1267394,Allocricetulus curtatus,KY993923.1,"Allocricetulus curtatus isolate f.c. Ac cytochrome b (Cytb) gene, partial cds; mitochondrial",1140
2184227,Alticola stoliczkanus,PV558718.1,"Alticola stoliczkanus isolate XZ22081 cytochrome b (cytb) gene, complete cds; mitochondrial",1143
870528,Alticola stracheyi,KY968269.1,"Alticola stracheyi isolate XZ16N119 cytochrome b (cytb) gene, partial cds; mitochondrial",1118
3370983,Anteliomys chinensis,KY997428.1,"Anteliomys chinensis isolate WWS12048 cytochrome b (Cytb) gene, partial cds; mitochondrial",1113
3370986,Anteliomys olitor,MW682703.1,"Eothenomys olitor voucher KIZ:XMS170017 cytochrome b (cytb) gene, partial cds; mitochondrial",1138
754351,Apodemus chejuensis,KT278843.1,"Apodemus chejuensis isolate H34(JJ) cytochrome b (cytb) gene, partial cds; mitochondrial",833
2602584,Apodemus nigrus,PV440052.1,"Apodemus nigrus isolate LJS195 cytochrome b (cytb) gene, partial cds; mitochondrial",903
1047088,Arvicola amphibius,PX244613.1,"Arvicola amphibius haplotype ATZ_3 cytochrome b (CYTB) gene, partial cds; mitochondrial",1140
595394,Berylmys berdmorei,HM217473.1,"Berylmys berdmorei voucher L0006 cytochrome b (cytb) gene, partial cds; mitochondrial",1104
1392512,Cannomys badius,MH189064.1,"Cannomys badius isolate PhuHuayDue1 cytochrome b (cytb) gene, partial cds; mitochondrial",615
1343853,Cansumys canus,PP975921.1,"Cansumys canus isolate CSD3982 cytochrome b (Cytb) gene, partial cds; mitochondrial",1140
672787,Chiromyscus langbianis,MK957049.1,"Chiromyscus langbianis isolate 16-010 cytochrome b (cytb) gene, partial cds; mitochondrial",1140
1572694,Chiromyscus thomasi,MK957059.1,"Chiromyscus thomasi isolate 16-045 cytochrome b (cytb) gene, partial cds; mitochondrial",1140
537920,Clethrionomys rutilus,PP928842.1,"Clethrionomys rutilus isolate AK37 cytochrome b (Cytb) gene, partial cds; mitochondrial",1128
2866654,Colomys eisentrauti,MT610392.1,"Colomys eisentrauti voucher VM_CMR.2009.26 cytochrome b (cytb) gene, partial cds; mitochondrial",1140
2866652,Colomys lumumbai,MT610399.1,"Colomys lumumbai voucher FMNH:MAMM:226974 cytochrome b (cytb) gene, partial cds; mitochondrial",1140
2866653,Colomys wologizi,MT610459.1,"Colomys wologizi voucher EMNH:ZWW266 cytochrome b (cytb) gene, partial cds; mitochondrial",1140
3241089,Craseomys rex,LC458485.1,"Craseomys rex TS01502 mitochondrial cytb gene for cytochrome b, partial cds",1140
1157628,Cricetomys ansorgei,PV873538.1,"Cricetomys ansorgei voucher EBO80 cytochrome b (cytb) gene, partial cds; mitochondrial",1109
1001553,Dephomys defua,MW762593.1,"Dephomys defua voucher USNM:583899 cytochrome b (cytb) gene, partial cds; mitochondrial",1140
723804,Dipodillus dasyurus,OM324332.1,"Dipodillus dasyurus isolate COVROD3589 cytochrome b (cytb) gene, partial cds; mitochondrial",1125
1267393,Eolagurus przewalskii,MK750944.1,"Eolagurus przewalskii voucher ZMMU:S-192279 cytochrome b (cytb) gene, partial cds; mitochondrial",1140
870527,Eothenomys eva,KY997409.1,"Eothenomys eva isolate QH15024 cytochrome b (Cytb) gene, partial cds; mitochondrial",1134
980894,Euchoreutes naso,HQ585977.1,"Euchoreutes naso isolate xj7 cytochrome b (cytb) gene, partial cds; mitochondrial",1110
864465,Euneomys mordax,KY753985.1,"Euneomys mordax cytochrome b (cytb) gene, partial cds; mitochondrial",425
2766943,Euryoryzomys legatus,MT118042.1,"Euryoryzomys legatus voucher MACN27069 cytochrome b (cytb) gene, partial cds; mitochondrial",800
530171,Handleyomys alfaroi,OR988049.1,"Handleyomys alfaroi isolate JFD1588 cytochrome b (cytb) gene, partial cds; mitochondrial",1101
1499497,Handleyomys melanotis,KP778462.1,"Handleyomys melanotis voucher ROM:ASK0896 cytochrome b (cytb) gene, partial cds; mitochondrial",1143
1156415,Hapalomys delacouri,OR637367.1,"Hapalomys delacouri cytochrome b (cytb) gene, complete cds; mitochondrial",1144
2107264,Hybomys trivirgatus,MW762589.1,"Hybomys trivirgatus voucher MNHN-ZM 2017-1742 cytochrome b (cytb) gene, partial cds; mitochondrial",1076
655593,Hylaeamys perenensis,PV391818.1,"Hylaeamys perenensis voucher FPI0000366 cytochrome b (CYTB) gene, partial cds; mitochondrial",804
530176,Hylaeamys yunganus,PV391868.1,"Hylaeamys yunganus voucher FPI0000481 cytochrome b (CYTB) gene, partial cds; mitochondrial",804
1159790,Hylomyscus grandis,JQ735515.1,"Hylomyscus grandis voucher IFORA_SPOT10112 cytochrome b (CYTB) gene, partial cds; mitochondrial",676
913014,Hylomyscus pamfi,MT311311.1,"Hylomyscus pamfi isolate VR110 cytochrome b (CYTb) gene, partial cds; mitochondrial",402
51337,Jaculus jaculus,OL898649.1,"Jaculus jaculus voucher Jac 28 cytochrome b (cytb) gene, partial cds; mitochondrial",852
48868,Jaculus orientalis,KT862832.1,"Jaculus orientalis voucher H14 cytochrome b (cytb) gene, partial cds; mitochondrial",1122
1268271,Leopoldamys milleti,JX173159.1,"Leopoldamys milleti isolate 12-031 cytochrome b (Cytb) gene, partial cds; mitochondrial",1143
857467,Leopoldamys neilli,HM219612.1,"Leopoldamys neilli haplotype HCB22 cytochrome b (cytb) gene, partial cds; mitochondrial",899
