tax_id,scientific_name,accession,seq_name,seq_len
530182,Transandinomys,KY754172.1,"Transandinomys talamancae cytochrome b (cytb) gene, partial cds; mitochondrial",426
579415,Reithrodontomys brevirostris,EF990017.1,"Reithrodontomys brevirostris voucher ROM116864 cytochrome b (CYTB) gene, partial cds; mitochondrial",1056
3370746,Rhipidomys ybyrae,PV847682.1,"Rhipidomys ybyrae voucher MN73995 cytochrome b (cytb) gene, partial cds; mitochondrial",1140
2975617,Neodon sp. KIZ GW180006,MW682460.1,"Neodon sp. KIZ GW180006 cytochrome b (cytb) gene, partial cds; mitochondrial",1138
3391938,Crunomys sp. t TG-2025,PQ861171.1,"Crunomys sp. t TG-2025 isolate MSB93274 cytochrome b (CYTB) gene, partial cds; mitochondrial",1143
1305945,Tonkinomys daovantieni,OR058875.1,"Tonkinomys daovantieni voucher NB-111 cytochrome b (cytb) gene, partial cds; mitochondrial",1140
2928177,unclassified Chibchanomys,PP094261.1,"Chibchanomys sp. isolate SEP040 cytochrome b (cytb) gene, partial cds; mitochondrial",1023
2652759,Millardia sp. AA-2019,MK507865.1,"Millardia sp. AA-2019 cytochrome b (Cytb) gene, partial cds; mitochondrial",1000
2162863,Mus mayori,OR352828.1,"Mus mayori voucher WHT6951 cytochrome b (cytb) gene, partial cds; mitochondrial",1140
3344811,Neodon sp. ku XW-2024,PQ236418.1,"Neodon sp. ku XW-2024 voucher XZ23187 cytochrome b (CYTB) gene, complete cds; mitochondrial",1143
1740720,Rattus rattus complex lineage II,LC770262.1,"Rattus rattus complex lineage II HS4980 mitochondrial cytb gene for cytochrome b, partial cds",1140
530169,Eremoryzomys polius,EU579483.1,"Ereoryzomys polius voucher FMNH129243 cytochrome b (Cytb) gene, partial cds; mitochondrial",1143
3144150,Thomasomys ischyrus,OP978430.1,"Thomasomys ischyrus voucher MUSM 52699 cytochrome b (cytb) gene, partial cds; mitochondrial",801
2771494,Neacomys marajoara,MT462072.1,"Neacomys marajoara voucher MAJ04 cytochrome b (cytb) gene, partial cds; mitochondrial",746
2153461,Neacomys sp. INPA 3056,KY886326.1,"Neacomys sp. INPA 3056 cytochrome b (cytb) gene, partial cds; mitochondrial",414
2382073,Oecomys phaeotis,MG988100.1,"Oecomys phaeotis voucher VPT2461 cytochrome b (cytb) gene, partial cds; mitochondrial",801
2496227,Acomys cf. mullah ET163,MH044995.1,"Acomys cf. mullah ET163 cytochrome b (cytb) gene, partial cds; mitochondrial",1012
537919,Microtus rossiaemeridionalis,AY513823.1,"Microtus rossiaemeridionalis haplotype 5 cytochrome b (cytb) gene, complete cds; mitochondrial",1143
